year,estratopri,aoj21,colseg,ur,q1,q2,m1,trust,pr5,ideologia
2021.0,Oriental,Delincuentes comunes,Igual,,,41.0,Neutra,,,
2021.0,Atlántica,,,,,26.0,,,,
2021.0,Pacífica,,,,,52.0,,,,
2021.0,Oriental,,,,,44.0,,,,
2021.0,Oriental,Guerrillas,Peor,,,33.0,Positiva,,,Centro derecha
2021.0,Atlántica,,,,,38.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,27.0,Negativa,,,Izquierda
2021.0,Oriental,Delincuentes comunes,Peor,,,34.0,Negativa,,,Centro derecha
2021.0,Pacífica,Delincuentes comunes,Peor,,,32.0,Neutra,,,Centro derecha
2021.0,Central,Delincuentes comunes,Peor,,,56.0,Neutra,,,
2021.0,Atlántica,,,,,63.0,,,,
2021.0,Bogotá,Crimen organizado,Mejor,,,30.0,Positiva,,,Centro derecha
2021.0,Atlántica,Crimen organizado,Igual,,,41.0,Positiva,,,Izquierda
2021.0,Oriental,,,,,35.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,57.0,Neutra,,,
2021.0,Oriental,,,,,32.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,40.0,Neutra,,,Centro
2021.0,Atlántica,Delincuentes comunes,Mejor,,,52.0,Positiva,,,Derecha
2021.0,Oriental,,,,,53.0,,,,
2021.0,Oriental,,,,,50.0,,,,
2021.0,Bogotá,,,,,52.0,,,,
2021.0,Atlántica,Crimen organizado,Igual,,,50.0,Negativa,,,
2021.0,Oriental,Guerrillas,Mejor,,,54.0,Positiva,,,Centro derecha
2021.0,Oriental,,,,,53.0,,,,
2021.0,Central,Delincuentes comunes,Peor,,,32.0,Neutra,,,Izquierda
2021.0,Oriental,,,,,46.0,,,,
2021.0,Bogotá,,,,,29.0,,,,
2021.0,Bogotá,,,,,47.0,,,,
2021.0,Oriental,Guerrillas,Igual,,,30.0,Positiva,,,
2021.0,Amazonia,Delincuentes comunes,Peor,,,32.0,Positiva,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,29.0,Neutra,,,Izquierda
2021.0,Atlántica,,,,,37.0,,,,
2021.0,Pacífica,Delincuentes comunes,Peor,,,65.0,Neutra,,,Centro derecha
2021.0,Pacífica,,,,,32.0,,,,
2021.0,Atlántica,Delincuentes comunes,Igual,,,18.0,Neutra,,,
2021.0,Bogotá,Crimen organizado,Peor,,,23.0,Negativa,,,Izquierda
2021.0,Oriental,,,,,44.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,25.0,Negativa,,,Izquierda
2021.0,Bogotá,,,,,48.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,24.0,Negativa,,,Centro izquierda
2021.0,Oriental,Crimen organizado,Igual,,,46.0,Positiva,,,Derecha
2021.0,Bogotá,,,,,51.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,44.0,Positiva,,,
2021.0,Oriental,Delincuentes comunes,Igual,,,40.0,Negativa,,,Centro derecha
2021.0,Atlántica,Delincuentes comunes,Igual,,,25.0,Neutra,,,
2021.0,Oriental,,,,,47.0,,,,
2021.0,Atlántica,Crimen organizado,Igual,,,28.0,Positiva,,,Izquierda
2021.0,Central,,,,,52.0,,,,
2021.0,Bogotá,,,,,35.0,,,,
2021.0,Atlántica,,,,,42.0,,,,
2021.0,Pacífica,Delincuentes comunes,Peor,,,48.0,Negativa,,,Centro derecha
2021.0,Oriental,,,,,22.0,,,,
2021.0,Amazonia,,,,,29.0,,,,
2021.0,Oriental,,,,,18.0,,,,
2021.0,Atlántica,,,,,19.0,,,,
2021.0,Oriental,,,,,28.0,,,,
2021.0,Oriental,,,,,38.0,,,,
2021.0,Amazonia,Guerrillas,Peor,,,58.0,Neutra,,,Derecha
2021.0,Bogotá,Crimen organizado,Igual,,,44.0,Negativa,,,Izquierda
2021.0,Atlántica,,,,,19.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,37.0,Positiva,,,Centro derecha
2021.0,Central,Delincuentes comunes,Peor,,,50.0,Neutra,,,Centro derecha
2021.0,Central,Delincuentes comunes,Peor,,,31.0,Neutra,,,Centro izquierda
2021.0,Oriental,,,,,67.0,,,,
2021.0,Atlántica,,,,,51.0,,,,
2021.0,Oriental,Guerrillas,Mejor,,,31.0,Positiva,,,Izquierda
2021.0,Bogotá,,,,,41.0,,,,
2021.0,Oriental,,,,,30.0,,,,
2021.0,Atlántica,,,,,42.0,,,,
2021.0,Oriental,,,,,38.0,,,,
2021.0,Oriental,,,,,47.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,50.0,Neutra,,,
2021.0,Oriental,Crimen organizado,Peor,,,26.0,Negativa,,,Derecha
2021.0,Oriental,,,,,40.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,25.0,Negativa,,,Centro izquierda
2021.0,Oriental,Delincuentes comunes,Peor,,,50.0,Positiva,,,
2021.0,Pacífica,,Peor,,,24.0,Neutra,,,Centro izquierda
2021.0,Oriental,,,,,35.0,,,,
2021.0,Pacífica,,,,,32.0,,,,
2021.0,Pacífica,,,,,26.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,49.0,Neutra,,,
2021.0,Bogotá,Delincuentes comunes,Igual,,,41.0,Neutra,,,Centro derecha
2021.0,Oriental,,,,,32.0,,,,
2021.0,Oriental,,,,,57.0,,,,
2021.0,Pacífica,,,,,60.0,,,,
2021.0,Atlántica,,,,,31.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,48.0,Neutra,,,
2021.0,Bogotá,Crimen organizado,Peor,,,34.0,Negativa,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,45.0,Positiva,,,Izquierda
2021.0,Oriental,Delincuentes comunes,Peor,,,41.0,Neutra,,,Centro
2021.0,Oriental,,Peor,,,62.0,Neutra,,,Derecha
2021.0,Bogotá,Crimen organizado,Peor,,,38.0,Neutra,,,
2021.0,Bogotá,,,,,38.0,,,,
2021.0,Atlántica,Crimen organizado,Peor,,,43.0,Negativa,,,Derecha
2021.0,Atlántica,,,,,59.0,,,,
2021.0,Central,Delincuentes comunes,Mejor,,,61.0,Positiva,,,Derecha
2021.0,Oriental,Delincuentes comunes,Peor,,,40.0,Positiva,,,Izquierda
